考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
113 年第 2 次證券投資分析人員資格測驗試題,投資學,申論題,2,甲公司今年發放5 元現金股利，若預期其現金股利每年將固定成長 6%，且投資人對該公司 股票的要求報酬率為10%，請問： (1) 請介紹估算股票合理價格的股利折現模型。(5 分) (2) 若以上述股利折現模型為基礎，甲公司股票的合理價格為何? (5 分),,,,,
113 年第 2 次證券投資分析人員資格測驗試題,投資學,申論題,3,"國內外指數股票型基金 (Exchange Traded Fund, 下簡稱 ETF) 資產管理規模與投資民眾數 近年成長顯著，請問： (1) 請說明台灣ETF 的運作機制。 (3 分) (2) 投資ETF的主要風險。 (3 分) (3) 投資ETF與股票型共同基金的差異。(4 分) 113 年第 2 次",,,,,
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,1,強森公司的資產報酬率為 10%，負債/權益比為0.6，則權益報酬率為：,6%,16%,16.67%,6.25%,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,2,財務槓桿指數大於1，表示：,舉債經營不利,舉債經營有利,負債比率超過資產報酬率,借款增加,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,3,嘉南公司X9 年總資產週轉率為 4，權益報酬率為 60%，若權益比率為50%，則其本期淨利率 為若干？,12.50%,7.50%,6.25%,4%,D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,4,下列何者係指規避已認列資產或負債或未認列確定承諾公允價值變動之風險，該價值變動應可 歸因於某特定風險且將影響損益：,現金流量避險,國外淨投資避險,公允價值避險,選項(A)(B)(C)皆非,B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,5,"景新公司X1 年度營業活動現金流量為$600,000，當年度資本支出$187,500、現金股利 $37,500，當年底流動資產$375,000(內含現金$75,000)，則該公司之現金股利保障倍數為：",2 倍,16 倍,21 倍,10 倍,D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,6,名目利率為：,真實利率+預期通貨膨脹溢酬+到期風險溢酬,真實利率×預期通貨膨脹溢酬,真實利率×預期通貨膨脹溢酬×到期風險溢酬,預期通貨膨脹率,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,7,企業會傾向用何種方式改變財務報表使用者對公司財務績效的觀感？,將綜合損益表項目移入或移出營業損益的範圍，以增加或降低營業損益,將費用從銷貨成本轉移到行銷與一般管理費用項下，以提高銷貨毛利,皆是,選項,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,8,應收帳款採用備抵法，若沖銷呆帳：,現金流量率下降,流動比率不變,速動比率下降,存貨週轉率下降,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,9,"一批價值為$250,000的存貨遭竊對公司流動性的影響為：",減少速動比率,增加營運資金,減少流動比率,增加速動比率,B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,10,在分析企業流動性時，應輔以：,損益兩平分析,差異分析,敏感性分析,柏拉圖分析,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,11,"某公司的流動資產為$250,000，未向銀行借$60,000 前的流動負債為$90,000，而該借款乃開 具三個月期的票據。上述借款交易將對公司的營運資金產生何種影響？",沒有影響,"增加$60,000","增加$90,000","減少$60,000",C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,12,"開陽公司某一現金產生單位甲部門因所處產業環境發生不利變動，於本期發生減損損失 $80,000，該部門內有機器設備 A、B、C及商譽，帳面金額分別為$90,000、$50,000、 $160,000 及$30,000，則機器 A 應分攤之減損損失為：","$15,000","$21,818","$10,800","$30,000",C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,13,"某公司X7 年1 月1 日以$2,391,763 售出票面金額$2,500,000，五年期，利率 4%公司債，發 行時市場利率5%，利息於每年 1 月1 日支付一次。公司債折（溢）價採有效利率法攤銷，設 該債券於X8 年1 月1 日於支付利息後，按面額 98 償還流通在外債券一半，試問 X8 年1 月1 日贖回債券損益為：","贖回債券損失$25,000","贖回債券利益$25,000","贖回債券損失$19,324","贖回債券利益$19,324",B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,14,"大仁公司有一機器設備，成本為$5,000,000，一開始估計可用十年，殘值估計為零，依直線法 提列折舊。到第六年初該公司發現該設備預計還可再使用八年，殘值為$100,000，則第六年 的折舊費用應為多少？","$250,000","$300,000","$375,000","$450,000",C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,15,依國際財務報導準則第9 號(簡稱IFRS9)針對金融資產財務報導之原則，金融資產之原始認列 時，企業應以何者衡量？,交易成本,公允價值,攤銷後成本,攤銷後公允價值,D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,16,菁英金屬公司於2016年底的存貨盤點時，忘記盤點某些商品。請說明此項過失對該公司的 2016 年度銷貨毛利及2017 年度的淨利之影響效果為何？（高估；低估；無影響）,高估；無影響,高估；低估,低估；高估,低估；無影響,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,17,"遨遊科技控股公司2023 年期初「預付租金」會計科目餘額為$80,000，期末餘額為$60,000， 已知該公司於2023 年度以現金$120,000 支付租金。試問：該公司 2023 年綜合損益表的租金 費用應為多少？","$100,000","$120,000","$140,000","$200,000",D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,18,依國際財務報導準則(簡稱 IFRS16)針對「租賃(Leases)」應適用的適當會計政策與揭露，試 問：以下敘述何者有誤？ 甲、承租人在租賃期間開始日，承租人應以租賃開始日所決定之租賃資產公允價值或最低租賃 給付現值兩者孰高者，於其財務狀況表內將融資租賃認列為資產與負債。 乙、承租人於營業租賃下之租賃給付應按直線基礎於租賃期間內認列為費用，除非另一種有系 統之基礎更能代表使用者效益之時間型態。 丙、一項租賃如未移轉附屬於租賃標的物所有權之幾乎所有風險與報酬，則應分類為融資租 賃。 丁、售後租回交易若形成融資租賃，出售人兼承租人對銷售價款超過帳面金額之部分不得立即 認列為收益，而應予遞延並於租賃期間攤銷。,甲、丙,乙、丙,甲、丁,乙、丁,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,19,"已知立人國際公司2023 年度的稅後純益為$100,000，累積特別股為$200,000，特別股股利 率為6%，當年度未宣告發放。此外，該公司於 2023 年度的普通股資料如下： 1/1 流通在外股數10,000 股。 3/1 買入庫藏股票960股。 5/1 發放20%股票股利。 7/1 現金增資2,500 股。 9/1 出售庫藏股票600股。 11/1 股票分割1 股分為 2 股。 試問：立人國際公司2023 年度的每股盈餘(EPS)為多少？",$4.00 /股,$4.99 /股,$5.68 /股,$3.52 /股,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,20,已知嘉興半導體公司發行債券之票面利率為 6%，發行時市場利率為 8%。試問：該債券是以 折價(at discount)、平價(at par)或溢價(at premium)發行？,平價,折價,溢價,面額,D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,21,"已知中信公司2023 年度稅前淨利為$560,000，利息費用$50,000，所得稅率 25%；該公司部 分財務資料如下： 1/1 12/31 總資產 $1,040,000 1,360,000 股東權益 1,000,000 1,160,000 特別股股本8%；面值 ($10) 400,000 400,000 試問：中信公司2023年的財務槓桿指數(Financial Leverage Index)為多少？",1.02,1.62,1.50,0.94,B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,22,依國際會計準則第24號「關係人揭露」(簡稱IAS24)，其中第18段規定若報導個體於財務報 表涵蓋期間內有關係人交易，應揭露關係人關係之性質，及關係人交易與未結清餘額(包括承 諾)之相關資訊。試問：其揭露應完整包含下列哪些項目？ 甲、交易金額； 乙、未結清餘額（不包括承諾）； 丙、未結清餘額（包括承諾），及其條款及條件，包括是否有擔保及供清償之對價之性 質； 以及收受或提供任何保證之詳細資訊； 丁、與未結清餘額有關之呆帳準備； 戊、當期對應收關係人款之壞帳或呆帳所認列之費用。,甲、乙、丁,甲、丙、戊,甲、丙、丁、戊,甲、乙、丁、戊,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,23,"已知英吉科技公司的流動比率為 4，存貨佔流動資產的 1/4，預付費用為$15,000，流動負債 為$15,000。試問：英吉科技公司的速動比率為多少？",1.5,2,2.5,3,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,24,卓越貿易公司於2023年 12 月31 日的期末存貨明細如下： 試以成本與淨變現價值孰低法評價，試問：該公司的個別商品之期末存貨評價為多少？,"$714,600","$766,800","$691,200","$790,200",B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,25,依國際會計準則第29號「高度通貨膨脹經濟下之財務報導」原則：於通貨膨脹期間，在資產 與負債未與物價水準連動之範圍內，若企業持有之貨幣性負債超過貨幣性資產，將有購買力利 益。則該淨貨幣部位之損益，應如何處理？,計入當期損益，無須單獨揭露,計入當期損益，並單獨揭露,減少其帳面金額，無須單獨揭露,減少其帳面金額，並單獨揭露,B
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,26,"大方公司2022 年度稅後淨利為$100,000，股東權益包含：8%不可轉換特別股 50,000 股、每 股面值$10 以及普通股100,000 股、每股面值$30，兩種股票均全年流通在外。當普通股每股 市價為$60 時，則該公司 2022 年度的本益比為多少？",0.01,0.6,50,100,D
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,27,"明基食品公司在成立後的第一年度營運中，產生$73,200,000 的銷貨淨額，當年度採用直接沖 銷法沖銷的壞帳金額計$1,267,200，第一年度的稅後淨利為$2,707,200。此外，該公司在第二 年的營運中，銷貨淨利為$91,200,000，採用直接沖銷法沖銷的壞帳計$1,548,000，第二年度 的稅後淨利為$389,200。試問：若明基食品公司在第一年與第二年度皆改採用「備抵法」提 列壞帳（估計壞帳為銷貨淨額的 2%），則該公司第二年底備抵壞帳之餘額有多少？","$3,288,000","$472,800","$1,824,000","$2,020,800",C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,28,"某公司於2021 年7 月24 日將閒置資金購入濟業公司股票 5,000 股，每股面額$10，市價每 股為$28，另付1.5 ‰費用，其分錄為借：透過其他綜合損益按公允價值衡量之金融資產－股 票，依IFRS9 規定，入帳金額應為多少？","$140,210","$140,000","$50,075","$50,000",C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,29,"致遠百貨公司於2016年 1 月1 日以$600,000 購買一套機器設備，這套設備估計有 5 年的耐 用年限、估計殘值為$120,000，該公司採用雙倍餘額遞減法提列折舊。若該公司使用機器設 備3 年後，將該設備以$192,000 出售，試問：出售設備將產生多少處分損益？","損失$31,800","損失$120,000","利益$62,400","利益$72,000",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,30,"力麒公司於2022 年初以面額發行 2,000 張、每張 1,000 元的三年期可轉換公司債，票面利率 為6%，每年付息一次，每張公司債可轉換 30 股、每股面額 10 元的普通股。若該公司債發行 時，條件相同但不可轉換的公司債之發行價格為$1,900,000，試問：力麒公司於 2022 年初發 行時應付公司債的帳面價值為多少？","$2,000,000","$1,800,000","$2,200,000","$1,900,000",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,31,"大華工具機公司於2022 年取得專門生產新機器手臂的專利，下列資訊取自該公司的內部財務 紀錄：2022 年期間，大華公司申請專利時支付了＄1,200,000 的法律與申請費用。此外，大 華公司於2022 年期間，因控告其他公司違反專利權法，故產生了＄4,800,000 的法律訴訟 費，這筆費用將於2023 年支付。此項專利於2022 年12 月31 日生效，大華公司估計這項專 利將為公司未來五年期間帶來經濟利益，該公司的政策是在取得專利的當年度不予攤銷無形資 產。對於其他公司侵犯專利權的行為，若大華公司已成功地捍衛其專利權。試問：大華工具機 公司於2023 年12 月31 日的財務狀況表中，專利權的帳面價值為多少？","$1,200,000","$4,800,000","$6,000,000","$5,600,000",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,32,"玖揚紡織公司於2022年 12 月1 日向華富銀行融資借款$462,000，同時簽立一張 90 天期、 票面利率15%、面額為$480,000 之票據。試問：玖揚紡織公司於 2022 年 12 月31 日應付票 據揭露於財務狀況表之帳面價值為多少？","$468,000","$480,000","$462,000","$474,000",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,33,擎天電子公司於2019年 1 月1 日發行面額$48 億元之十年期債券，票面利率為 5%，有效年 利率為7%。試問：債券發行之現金收入為多少？（註：5%，10 期年金現值為 7.7217； 5%，10 期現值為0.6139；7%，10 期年金現值為 7.0236；7%，10期現值為 0.5083）,"$4,800,000,000","$4,125,504,000","$4,799,928,000","$5,040,000,000",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,34,E 公司今年的純益率為11.4%，資產週轉率1.34，業主權益比率0.67，則 E 公司今年度的 「股東權益報酬率(ROE)」為多少？,15.28%,10.23%,22.80%,12.70%,
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,35,"瑞傑科技公司於2023年的期初存貨與進貨明細情況如下： 1月 1日 期初存貨 400單位 × $240 = $0096,000 3月 14日 進貨 700單位 × $360 = $0252,000 7月 30日 進貨 900單位 × $480 = $0432,000 10月 26日 進貨 1,400單位 × $600 = $0840,000 可供銷售商品總額 3,400單位 $1,620,000 瑞傑科技公司於2023年期間分別於下列日期以每單位$960 出售商品： 1月10日 200 單位 3月15日 300 單位 10月5日 620 單位 總銷售單位 1,120 單位 已知瑞傑科技公司採用永續盤存制的「後進先出法」存貨盤點制度，試問：瑞傑科技公司 2023 年度的銷貨毛利為多少？","$357,600","$453,600","$621,600","$402,800",
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,1,"寶仁食品公司2023 年底之部分資產負債表如下： 流動資產： 流動負債： 現 金 $ 200,000 銀行借款 $ 40,000 應收帳款 600,000 應付帳款 360,000 存 貨 60,000 短期借款 30,000 文具用品 20,000 預付費用 30,000 2023 年初應收帳款：$400,000 2023 年初存貨：$80,000 2023 年度銷貨淨額：$2,500,000 2023 年度銷貨成本：$1,500,000 試求：寶仁食品公司2023 年度下列財務比率(一年以 365 天計算)：(10 分) (1) 營運資金(Working Capital) (2) 速動比率(Quick Ratio) (3) 應收帳款週轉率(Accounts Receivable Turnover) (4) 存貨週轉天數(Days Sales of Inventory) (5) 營業週期(Operating Cycle)",,,,,A
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,2,假定最近冠仁建設公司打算添購一部堆土機，公司的總經理請你評估購買堆土機的可行性。堆 土機的售價為 280 萬元，而還要再花費 20 萬元的改裝費用才能使它做特殊用途。堆土機預期 使用五年，五年後可以售得 80 萬元；此外，該公司採用年數合計法提列折舊費用，且能享有 10%的投資稅額抵減。為了使用這部堆土機，公司的淨營運資金必須再增加 30 萬元。堆土機 不會帶給公司任何收入，但它預期每年可使公司省下 60 萬元的稅前營運成本。最後，公司的 稅率等於25%。試問： (1) 堆土機的原始淨投資支出等於多少？(2 分) (2) 若此專案資金成本為 12%，則 NPV 等於多少？該公司是否應該購買堆土機？(6 分) （註：12%，1 期現值為 0.8929；12%，2 期現值為 0.7972；12%，3 期現值為 0.7118； 12%，4 期現值為0.6355；12%，5 期現值為0.5674）,,,,,C
113 年第 2 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,3,"南方服務公司2022年及2023年12月31日資產負債表如下，請以間接法編製該公司2023年 度的現金流量表。(12 分) 2023 年 2022 年 12 月 31 日 12 月 31 日 現 金 $ 4,000 $ 3,000 應收帳款(淨額) 8,000 4,000 存 貨 11,000 9,000 長期投資 － 2,000 機器設備 45,000 15,000 累計折舊－機器設備 (6,000) (4,000) 總資產 $ 62,000 $ 29,000 應付帳款 $ 4,000 $ 2,000 應付票據－短期 2,000 3,000 應付票據－長期 17,500 5,000 普通股股本 28,000 15,000 保留盈餘 10,500 4,000 負債及股東權益 $ 62,000 $ 29,000 其他補充資料：","2023 年度之稅後淨利$13,000。","2023 年度提列折舊費用$2,000。",按成本出售長期投資。,"發放現金股利$6,500。",D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,1,新興古典學派(New Classical School)假設人們行為是________，所以工資與物價會隨人們預 期而_______。,適應性預期；充分伸縮,適應性預期；僵固,理性預期的；充分伸縮,理性預期的；僵固,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,2,哪種政策搭配組合可以使得利率不變的情況下，產出會增加？,貨幣供給與政府支出皆增加,貨幣供給增加，政府支出減少,貨幣供給減少，政府支出增加,貨幣供給與政府支出皆減少,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,3,因為金融危機造成的信用緊縮現象，不包括下列哪種？,銀行同業間拆款利率上升,央行緊縮銀根,中小企業向銀行融資困難,銀行縮減個人信用卡額度,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,4,利率變動對債券價格的影響為：,對短期債券價格影響較大,對長期債券價格影響較大,對短期和長期債券價格的影響一樣,對短期和長期債券價格的影響不一定，視情況而定,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,5,一個基點為：,一個百分點的萬分之一,一個百分點的千分之一,一個百分點的百分之一,一個百分點,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,6,當經濟擴張才剛開始時，你可能會觀察到：,收益率曲線稍微正斜率,收益率曲線陡峭正斜率,收益率曲線平坦或反轉,收益率曲線，在短期部份是正斜率，然後在長期是負斜率,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,7,政府的消費支出不包含下列何者？,政府對各種產品的購買,軍人的薪水,移轉性支付,公、教人員薪津,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,8,我國景氣對策信號共有9 個指標構成，其共有__種燈號，其中代表熱絡的紅燈其分數範圍為 _____。,5；38-45 分,5；30-40 分,6；35-45 分,6；38-45 分,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,9,當BB 級與AAA 級債券的風險利差擴大時，反映了何種現象？,通貨膨脹,景氣衰退,投資需求上升,市場資金過多,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,10,關於債券票面利率(Coupon Rate)及持有債券報酬率的差別，下列何者為真？,持有債券的報酬率未必等於債券的票面利率,若有資本利得，票面利率會大於持有債券的報酬率,皆非,選項,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,11,根據完整的利率期限結構理論(含Term Premium)，負斜率的收益率曲線代表預期短期利率未 來會,上升,下降,不變,短期下降，然後上升,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,12,英鎊之即期匯率為$1.6000/￡，年通貨膨脹率美國是 7%，而英國是8%，若 PPP 成立，請問 年終預期匯率為多少？,$1.6480/￡,$1.6000/￡,$1.6466/￡,$1.5852/￡,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,13,存續期間的高低是反映了何種風險？,債券的利率風險,股票的市場風險,債券的再投資風險,債券的購買力風險,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,14,台幣一年期利率為5%，美元一年期利率為 8%，目前的一美元兌新台幣即期匯價為 30，根據 有拋補利率平價原理，一年後合理的遠期匯率應為多少？,29.1,30.9,30.0,29.7,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,15,以下哪一項的減少會導致準備貨幣的增加？,中央銀行持有的公債,重貼現貸款,存在中央銀行的外國存款,中央銀行的國外資產,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,16,財政政策的排擠效果(Crowding Out Effect)在什麼情況下較嚴重？,IS 愈垂直時,LM愈垂直時,LM愈水平時,總支出線愈垂直時,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,17,央行操控中間目標(Intermediate Target)時常須面對「價量不相容」狀況，一般而言，以下何 者正確？,若干擾因素確定來自於貨幣需求，這時應選擇貨幣供給當成中間目標,若干擾確定來自於貨幣需求以外因素，這時應選擇利率當成中間目標,操作目標和中間目標的選擇在價或量的選取上應該一致,以上皆是,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,18,中央銀行賣出本國通貨以買進國外資產，使得：,國際準備減少,本國通貨貶值,貨幣供給減少,本國利率上升,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,19,如果操作目標(Operating Target)為同業拆放利率，此情況下在以下項目：甲.M1B、乙.銀行平 均存款利率、丙.M2、丁.長期債券利率、戊.國庫券利率，適合做為中間目標的有幾個？,1,2,3,4,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,20,在其他條件不變之下，根據貨幣傳遞機制，增加貨幣供給將使______因而使得總合______。,出口增加；供給增加,投資增加；供給增加,進口增加；需求增加,消費增加；需求增加,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,21,根據購買力平價(Purchasing Power Parity)，如果我國國內通貨膨脹情況較美國嚴重，則,美元相對於台幣會升值,美元相對於台幣會貶值,對兩國之間匯率沒有影響,台幣相對於美元會升值,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,22,以下各交易哪一個是在貨幣市場完成？,王先生將上個月買入的台積電股票賣出,開心銀行提供3 年期汽車貸款給王先生,快樂銀行買入商業本票 2 億元,中央銀行發行央行定期存單,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,23,若一張兩年期債券的面額為 100 萬元，載明息票利率為 4%，,若以101 萬元交易，則其到期收益率(Yield To Maturity)為4.5%,若以100 萬元交易，則其到期收益率為 4%,若以99 萬元交易，則其到期收益率為 3.9%,若以98 萬元交易，則其當期收益率(Current Yield)為4%,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,24,以下關於我國金管會之敘述，何者正確？,央行總裁為當然委員,隸屬在法務部之下,銀行局負責金融機構檢查稽核,能源部長為當然委員,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,25,以下敘述何者錯誤？,各種不同的金融工具各有不同的風險，所以利率各不相同,收益曲線通常為下降型,凱因斯假設貨幣有零報酬率,利息未支付或債券面額未償還的風險稱為倒帳風險(Default Risk),B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,26,假如目前一年期利率為2%，預期未來4 年的一年期利率為 3%、1%、3%、3%，預期理論預 測目前哪種期限之債券的利率最高?,2 年期,3 年期,4 年期,5 年期,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,27,當預期通貨膨脹率提高時，在其他條件不變之下，對債券的需求將_______，對債券的供給將 ________，因而利率將________。,增加；減少；下降,減少；增加；提高,增加；增加；提高,減少；減少；下降,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,28,若法定準備率是10%，流通中的通貨淨額是 200 億元，(支票)存款是800 億元，總超額準備 是40 億元，那麼：,通貨/存款比率是0.4,超額準備/存款比率是0.1,貨幣乘數是3.5,貨幣基數是320 億,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,29,下面哪些因素會使得債券供給增加？,房地產需求減少,政府預算赤字增加,家戶所得提高,股票的流動性提高,B
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,30,給定金山銀行的資產負債資料： 根據金山銀行以上資料，若利率上升 1 碼，該銀行的,利潤增加1.5 億元,利息支出減少5 億元,利息收入增加26 億元,缺口為300 億元,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,31,"銀山銀行資產額為2,000 億元，同時資產的平均存續期為 3，負債額為1,500 億元且平均存續 期為2。若利率下降2碼，該銀行的",資產價值增加15 億元,負債價值減少15 億元,資本額增加15 億元,淨資產減少20%,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,32,若銀行面臨放款壞帳10 億元，在壞帳打銷後：,放款額增加10 億元,存款額減少10 億元,準備金減少10 億元,資本額減少10 億元,D
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,33,一張債券到期時才付款一次 100 萬元，期限為5 年，利率為3.5%，這張債券的存續期 (Duration)為：,1.5,3.5,4.0,5.0,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,34,假如銀行預期利率在未來將下降，那麼它現在的最適策略是：,購買短期債券,出售長期存款憑證,提高銀行資產的存續期,提高銀行負債的存續期,A
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,35,下列有關中央銀行獨立性的敘述，何者正確？,央行法定目標愈多，中央銀行獨立性愈大,央行愈屬於政府，中央銀行獨立性愈大,央行官員任期愈長，中央銀行獨立性愈小,央行若能直接承購新發行公債，其獨立性愈大,C
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,1,有關停滯性通貨膨脹 (Stagflation)： (1) 其成因是什麼？並請將其呈現在 AD-AS 圖形。(3 分) (2) 財政政策或貨幣政策可徹底解決人民的痛苦嗎？請利用IS-LM圖形、以及 AD-AS 圖形併同文字說明。(3 分) (3) 理論上兩全其美的政策為何？(4 分),,,,,
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,2,"給定某一經濟中的市場資料如下： 商品勞務市場 貨幣市場 C = 150 + 0.8 Y d 𝑀𝑑 = 700+0.4𝑌−10𝑟 I = 710 − 20r 𝑀𝑠 = 1300+10𝑟 G = 300 T = 0.25Y − 50 Y ( d ：可支配所得，r：利率, 以%表示，Y：所得，C：消費，I：投資， G：政府支出，T：稅收，Md ：貨幣需求，Ms ：貨幣供給 ) 試問： (1)找出IS 曲線方程式以及 LM曲線方程式(各3 分) (2)均衡利率及均衡所得為多少？(2 分) (3)均衡時有財政盈餘或赤字多少？(2 分)",,,,,
113 年第 2 次證券投資分析人員資格測驗試題,總體經濟及金融市場,申論題,3,假設目前一年期利率到五年期利率分別為2%，3%，4%，4%，4.5%，並且二年期到五年期 的期限貼水分別為0.5%，1%，1%，1.5%。 (1)在利率期限結構「預期理論」下，算出人們預期第 2、3、4、5 年的一年期利率各為多 少？(各1 分) (2)在「習性偏好理論」下，算出人們預期第 2、3、4、5 年的一年期利率各為多少？(各1 分) (3)畫出並標示出各年期利率的yield curve。(2 分),,,,,
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,1,證券投資信託事業經營全權委託投資業務，應向客戶交付全權委託投資說明書，如擬從事證券相關 商品交易，應再交付下列何種文件，並告知證券相關商品交易之特性、可能之風險及法令限制等， 據以共同議定委託投資資產及投資或交易之基本方針與投資或交易之範圍？,全權委託期貨暨選擇權交易風險預告書,投資風險自行承擔切結書,商品說明書,內控制度聲明書,D
113 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,2,證券投資信託事業證券投資顧問事業經營全權委託投資業務，於全權委託投資契約及受託證券期貨 經紀商之受託買賣契約，應載明證券投信或投顧事業運用委託投資資產從事有價證券投資或證券相 關商品交易，逾越法令或全權委託投資契約所定限制範圍者，應由誰負履行責任？,客戶,全權委託保管機構,經營全權委託投資業務之證券投信或投顧事業,證券、期貨經紀商,C
